ranking,name,undergradpop
322,oral-roberts-university,2866
323,cuny-john-jay-college-of-criminal-justice,10276
324,university-of-northern-iowa,9100
325,ithaca-college,5936
326,university-of-maryland---baltimore-county,9543
327,st-marys-college-of-maryland,1516
328,north-dakota-state-university,10782
329,adelphi-university,4874
330,westmont-college,1284
331,xavier-university,4370
332,new-jersey-institute-of-technology,6380
333,university-of-louisiana---lafayette,12767
334,university-of-massachusetts---lowell,10495
335,st-marys-university---texas,2228
336,maryville-university,2375
337,john-brown-university,1489
338,centre-college,1449
339,azusa-pacific-university,5075
340,midamerica-nazarene-university,998
341,bryant-university,3418
342,emerson-college,3748
343,regis-university,2378
344,university-of-michigan---dearborn,5137
345,baldwin-wallace-university,2958
346,dordt-college,1341
347,georgia-southern-university,15755
348,citadel-military-college-of-south-carolina,2559
349,martin-luther-college,743
350,university-of-north-carolina-at-asheville,3285
351,western-michigan-university,15063
352,virginia-commonwealth-university,20036
353,university-of-north-carolina---wilmington,12346
354,texas-state-university,28019
355,university-of-wisconsin---eau-claire,9476
356,howard-university,6090
357,knox-college,1334
358,university-at-albany-suny,12740
359,northwest-nazarene-university,1125
360,university-of-la-verne,3759
361,university-of-north-texas,25592
362,university-of-california---riverside,19719
363,eckerd-college,1915
364,utah-state-university,17188
365,saint-michaels-college,1766
366,stanbridge-university,1173
367,university-of-the-sciences,1251
368,university-of-st-thomas---texas,1434
369,university-of-north-carolina-at-charlotte,20597
370,east-carolina-university,19999
371,california-lutheran-university,2858
372,ball-state-university,15203
373,rutgers-university---camden,4493
374,university-of-minnesota---morris,1526
375,mississippi-college,2793
376,university-of-north-florida,10223
377,indiana-wesleyan-university,2634
378,fashion-institute-of-technology,7210
379,hanover-college,1081
380,arizona-state-university---downtown-phoenix-campus,7956
381,dallas-baptist-university,2423
382,stonehill-college,2482
383,loras-college,1335
384,illinois-state-university,17165
385,william-carey-university,1676
386,berklee-college-of-music,3881
387,franciscan-missionaries-of-our-lady-university,494
388,university-of-nevada---reno,15572
389,college-of-charleston,9083
390,jefferson-college-of-health-sciences,615
391,pittsburg-state-university,5109
392,oregon-institute-of-technology,2284
393,cuny-brooklyn-college,10786
394,university-of-washington---tacoma,3945
395,university-of-north-dakota,8525
396,california-state-university---fullerton,28475
397,winthrop-university,4488
398,the-masters-university,975
399,cuny-queens-college,12149
400,wittenberg-university,1775
401,gannon-university,2530
402,saint-marys-college---indiana,1486
403,california-state-university---chico,15446
404,wayne-state-university,12389
405,university-of-memphis,12400
